sourceWord	targetWord	minSource	maxSource	minTarget	maxTarget
anarchy	anarcys. 	the country was in a state of anarchy at that time.	the country was in a state of anarchy at that time.	その国は当時無政府状態だった。	その国は当時無政府状態だった。
anarchistic	anarchistry 	
anatomy	解剖学 	
anguish	苦悩 	he is in anguish over her child.	the newspaper told of the mother's anguish at the death of her son.	彼は子供のことでひどく悩んでいる。	新聞は息子の死を知った母親の苦悩を伝えた。
hustle and bustle	ハッスルと喧騒 	
outbuilding	別棟 	
give notice	通知をするために 	
annual	毎年 	the athletic meet is an annual event.	an individual with an annual income of more than 15 million yen is required to file his or her final tax return in march.	年会費はいくらですか。	年間所得が１５００万円を越す人は毎年３月に確定申告しなければならない。
(expression)	（式） 	
anonymous	匿名 	i want to remain anonymous in this.	the poem was composed by an anonymous author.	その詩は無名の著者が詠んだ。	この件では名前を出したくない。
anti-semitic	反セイマイト 	
august	八重 	today is august twelfth.	anime director satoshi kon died of pancreatic cancer on august 24, 2010, shortly before his 47th birthday.	今日は８月１２日です。	アニメーション監督の今敏さんが２０１０年８月２４日、膵臓がんのため４７歳の誕生日を前にして死去した。
appetite	食欲 	my appetite was large.	i've had no appetite and haven't eaten anything all morning, but as you would expect i'm now starting to get a little hungry.	今日は食欲がある。	私はストレスがたまると食欲がなくなるのではなく、逆に何か食べないと気が済まなくなる。
dread	恐怖に 	cats have a dread of water.	they live in constant dread of floods.	猫は水をとても怖がる。	彼らは絶えず洪水の心配をしながら暮らしています。
apprehension	懸念 	
learning	学習 	i'm learning ido.	of course it's a good thing when someone learning a foreign language tries to use it without fear of making mistakes, but i don't think much of people without sufficient ability producing language learning material of poor quality.	趣味は言語を習う	「フランス語、興味はあるけど難しいんでしょ？」「そんなことないよ。英語の100倍簡単だよ」「ほんとに？」「少なくとも僕にとってはね」「それはトムがネイティブだからじゃん」
tame	めちゃくちゃに 	you can't tame a wolf.	the birds are so tame they will eat from your hand.	狼を飼い慣らすことはできません。	その鳥たちはとても人に慣れているので、手からえさを食べている。
approval	承認 	i need your approval before i leave work early.	when a president or a governor acts wisely and lawfully, americans express their approval by reelecting him and by supporting his political party.	このお願いをお認めいただけましたら幸いです。	大統領や知事が立派に合法的に行動した場合には、米国民は彼らを再選し、彼らが属する政党に指示を送ることによって承認を表明する。
