English Word	English Sentence
In a row	She took three months of holidays in a row.
Advice	This is a precious piece of advice he gave you, you should really listen to his advice.
To advise	What would you advise me on this subject?
Consensus	There is no consensus among the scientific community on that question.
Approval	He does not have the approval of his father nor that of his mother.
Conservatoire	I think it would be better for her if she would study music at the conservatoire.
Instruction	The instruction is clear, isn't it?
To comfort	Nobody manages to comfort him.
Consumption	The electricity consumption increases during winter.
To note (ici)	To whom am I speaking? My name is John, I am here to note the damages caused by the fire.
Contagious	I think you should be more careful, you might still be contagious.
To pollute (ici)	The water of the river has been polluted by the factory, hasn't it? I do not think so.
Contain	Cigarettes contain numerous harmful products.
Content	The content of your luggage might have been checked at the airport.
Opposition	The opposition against the regime has spread all over the country.
To avoid	I asked a passer-by how I could avoid the traffic jam.
Contracted	Your muscles are even more contracted than yesterday.
Birth pangs	The birth pangs have started at eight in the morning, the delivery happened two hours later.
Confines	He is even less motivated by this job because there are lots of confines.
Contrary	Contrary to what you think, she works a lot.
Fixed term contract	I have a three months fixed term contract right now.
Rolling contract	Neither of my two brothers managed to get a rolling contract at the end of their studies.
Contract	I have to sign a contract at twenty to the hour, I will join you afterwards.
Fine	He got a speeding fine .
To contradict oneself	He keeps on contradicting himself.
Taxpayer	The president's holidays have been payed by the taxpayers' money.
Ticket collector	The ticket collector gave him a fine because he did not have a ticket.
Convincing	Neither of your arguments is very convincing.
To convince	You have realized that it is impossible to convince him.
To agree on	All I recall is that we had agreed on meeting there at 8.
Conversation	Their conversation lasted for one hour and a half.
To call	The headmaster called in his parents a short while after.
To cooperate	He is certain that he will refuse to cooperate.
Copy	He always has a copy of his passport in case his papers get stolen.
To copy	Any student could copy corrections found on the internet.
Hull	The hull of the ship is covered in seashells.
Cortege	Once the cortege reached its destination, the journalists rushed at the presidential car.
Couchette	Every couchette of this sleeper car is taken.
Sharp	I have tried both of these knives but none of the two is sharp.
Cover	After having touched the burning hot cover, he started to shrill with pain.
Curfew	The curfew starts at 8 pm.
To spit	Spitting on the groung is forbidden.
To fear	It is exactly what I feared.
Anxiety	Let's hope your anxiety is unfounded.
Gullible	I wanted to fool my two brothers but neither of them was gullible.
Sundown	Be back before sundown.
To puncture (ici)	The tyre of the car got punctured not far from here.
Crime	Crime has never been so high.
Crispy	This baguette is not crispy enough.
Crust	Check the pie again in case the crust burns.
To gather	They went to gather mushrooms in the forest.
To grow	She grows vegetables in her garden in order to lower the amount of money she puts in food.
Dancer	Any dancer can take part in the show.
Dancer	She practices almost as hard as a professionnal dancer.
To land	The Allies have landed in Normandy, right?
To open (ici)	I would need a corkscrew to open this bottle, there is one beside me.
Beginning	Let's hope we do not miss the beginning of the movie.
To start	He is only just starting, he does not know how to play chess properly yet.
Beginner	This is a class for beginners, right?
December	Until December, he went to the pool every Tuesdays.
Decade	It has been more than a decade that he is working in this company.
Disappointment	This relationship breakdown is a huge disappointment for him.
Trash	He is used to sort his trash.
Tear	There is a tear on this page.
To rip off	Your son ripped several pages of the book off.
To decide	I have had the lock replaced in case she decided to make a duplicate of the keys.
Decision	This was not an easy decision to take, was it?
To start	This diplomatic incident might have started a war.
Take-off	It is forbidden to use electronic devices during the take-off.
To defrost	The fish might have gotten defrosted during transport.
Comfortable (ici)	The more comfortable you will be, the easier it will go.
Set	He made theatre sets for the theatre of his area on Tuesdays.
Decoration (ici)	It is of no use to buy new Christmas decoration, there are some left from last year.
To decorate	The children started to decorate the Christmas tree.
To cut up	He is cutting up a piece of paper to make a plane out of it.
Discourage	He got even more discouraged by the fact that his parents did not give him money to support his studies.
Discovery	Penicillin is one of the most important discovery of the twentieth century.
Autograph	I have managed to get an autograph from this author.
Failure	There was a technical failure by his fault.
Fault	He has a lot of faults but so many qualities.
To go against	The lab director goes aginst his application.
