English Word	Portuguese Translation	Short English Sentence	Long English Sentence	Short Target Sentence	Long Target Sentence
airplane	avião	I saw a plane.	To come out alive, he had to navigate throwing himself from a plane above California's Simi Valley on Saturday, reaching terminal velocity (193 km/hour) in a belly-to-earth fall that lasted about two minutes, and land inside the 30 meter by 30 meter net awaiting him just above the desert floor.	Vi um avião.	Para conseguir sobreviver, ele teve de lidar com atirar-se de um avião sobre o Vale Simi, na Califórnia, no sábado, atingindo a velocidade terminal (193 km/hora) numa queda de barriga voltada para o solo que durou cerca de dois minutos, e aterrar dentro da rede de 30 metros por 30 metros que o aguardava pouco acima da superfície do deserto
airport	aeroporto	I'm at the airport.	A plane carrying more than 9 tons of gold and other precious metals spilled nearly 200 bars onto the runway and on a nearby car market when its cargo hatch failed after it took off at an airport in the city of Yakutsk	Estou no aeroporto.	Um avião transportando mais de 9 toneladas de ouro e outros metais preciosos entornou quase 200 barras para a pista e num mercado automóvel próximo quando a sua escotilha de carga avariou após ter descolado num aeroporto na cidade de Iacutusque
airport	aeroporto	I'm at the airport.	A plane carrying more than 9 tons of gold and other precious metals spilled nearly 200 bars onto the runway and on a nearby car market when its cargo hatch failed after it took off at an airport in the city of Yakutsk	Estou no aeroporto.	Um avião transportando mais de 9 toneladas de ouro e outros metais preciosos entornou quase 200 barras para a pista e num mercado automóvel próximo quando a sua escotilha de carga avariou após ter descolado num aeroporto na cidade de Iacutusque
alarm	alarme	The alarm sounded.	This automated alarm is triggered by the initial elastic P-wave of a tremor, which immediately precedes the slower but more destructive secondary wave, which then shakes the ground back and forth perpendicular to the direction it is moving	Soou o alarme.	Este alarme automático é acionado pela onda P elástica inicial de um terramoto, que precede imediatamente a onda secundária mais lenta mas mais destrutiva, que depois sacode o solo para trás e para a frente perpendicularmente à direção em que se está a deslocar
alarm	alarme	The alarm sounded.	This automated alarm is triggered by the initial elastic P-wave of a tremor, which immediately precedes the slower but more destructive secondary wave, which then shakes the ground back and forth perpendicular to the direction it is moving	Soou o alarme.	Este alarme automático é acionado pela onda P elástica inicial de um terramoto, que precede imediatamente a onda secundária mais lenta mas mais destrutiva, que depois sacode o solo para trás e para a frente perpendicularmente à direção em que se está a deslocar
alarming	alarmante	This data is alarming.	 High Commissioner for Human Rights Zeid Ra’ad al-Hussein has warned of an alarming deterioration of human rights and an erosion of international institutions and laws threatening the social cohesion of nations	Esse dado é alarmante.	O alto-comissário das Nações Unidas para os direitos humanos, Zeid Ra'ad al-Hussein, alertou para a deterioração alarmante dos direitos humanos e para a erosão das instituições e leis internacionais, o que ameaça a coesão social das nações
albatross	albatroz				
alcohol	álcool	I drink alcohol.	A student should be aware that for those younger than 21, the state driver's license or photo ID will be in a vertical rather than horizontal format, so food servers and bartenders will more quickly be able to identify the holder as underage and therefore unable to be served alcohol	Eu bebo álcool.	Os estudantes devem estar cientes de que, para os menores de 21 anos, a carta de condução estatal e o documento de identificação com foto estará num formato vertical e não horizontal, para que os servidores de restauração e os empregados de bar possam identificar mais rapidamente o detentor como sendo menor de idade e, portanto, impedido de consumir álcool
alcoholism	alcoolismo				
Algebra	Álgebra	Algebra is a branch of mathematics.	Algebra is a branch of mathematics	Álgebra é um ramo da matemática.	Álgebra é um ramo da matemática
Algeria	Argélia	God bless Algeria.	Sylva said a committee set up by the countries was already conducting a feasibility study to build a 4,128-kilometer-long gas pipeline from southern Nigeria to Algeria via Niger	Deus abençoe a Argélia.	128 quilómetros de comprimento desde o sul da Nigéria até à Argélia através do Níger
Alibi	Álibi	An alibi is a proof that the accused was present somewhere else in the moment of the crime or offence.	An alibi is a proof that the accused was present somewhere else in the moment of the crime or offence.	Álibi é uma prova de que o acusado estava presente em outro lugar no momento do crime ou delito.	Álibi é uma prova de que o acusado estava presente em outro lugar no momento do crime ou delito
alike	parecido	It's similar.	They include a bird-like dinosaur, dubbed the “chicken from Hell,” that was 3.5 meters from beak to tail and weighed as much as 300 kilograms; a spider that lives in the Moroccan desert and can use its gymnastic talents to cartwheel out of danger; a 23-centimeter-long walking stick common in Vietnam; and a colorful sea slug from the Japanese islands that is the missing link between slugs that feed on colonies of tiny stinging jellies and those specializing on corals.	É parecido.	Elas incluem um dinossauro parecido a uma ave, apelidado de “galinha do Inferno”, que media 3,5 metros do bico à cauda e pesava até 300 quilogramas; uma aranha que habita no deserto marroquino e que consegue usar os seus talentos ginásticos fazendo rodas para escapar ao perigo; um bicho-pau com 23 centímetros de comprimento, comum no Vietname; e uma lesma-marinha colorida das ilhas japonesas que é o elo perdido entre as lesmas que se alimentam de colónias de minúsculas medusas e aquelas especializadas em corais
alive	vivo	I'm alive.	Constantly regard the universe as one living being, having one substance and one soul; and observe how all things have reference to one perception, the perception of this one living being; and how all things act with one movement; and how all things are the cooperating causes of all things which exist; observe too the continuous spinning of the thread and the contexture of the web.	Estou vivo.	Considere sempre o universo como um ser vivo, que tem substância e alma; e observe como todas as coisas estão relacionadas a uma percepção, a percepção desse ser vivo único; e como todas as coisas agem num só movimento; e como todas as coisas são as causas cooperantes de tudo o que existe; observe também a elaboração permanente do fio e a contextura da teia
allergy	alergia	Tom has hay fever.	When you have food allergies, eating out is difficult, isn't it?	O Tom tem alergia ao pólen.	Quando se tem alergia de comida, comer fora é difícil, né?
alley	beco	It's a dead end.	Yamashita is stuck with no way out. His well-thought-out project was rejected and the books he worked really hard on aren't selling.	É um beco sem saída.	Yamashita está em um beco sem saída
alliance	aliança	Tom gave Mary an engagement ring.	The World Health Organization says 184 countries have now joined the COVID-19 global vaccine alliance, known as COVAX, designed to speed development and ensure distribution of viable vaccines and treatments for the ailment caused by the coronavirus	Tom deu a Mary uma aliança de noivado.	A Organização Mundial de Saúde diz que 184 países já aderiram à aliança global vacinal contra a COVID-19, conhecida como COVAX, concebida para acelerar o desenvolvimento e assegurar a distribuição de vacinas e tratamentos viáveis para a enfermidade causada pelo coronavírus
